Nama_Aplikasi,Deskripsi,Link_Drive
Komentator Pertandingan Fiktif AI,"Bangun sebuah aplikasi web hiburan yang menulis narasi komentar play-by-play yang seru untuk pertandingan olahraga yang sepenuhnya fiktif. Pengguna memasukkan nama olahraga aneh, dan AI akan menghasilkan naskah komentar yang dramatis dan penuh semangat seolah-olah sedang menyiarkan momen puncak pertandingan.",https://ai.studio/apps/drive/1XCvldZaVhswkyCAl7x1a_cnUYEhZWvGJ
Pembuat Mitos Urban AI: Creepypasta Generator,"Bangun sebuah aplikasi web yang menciptakan cerita legenda urban atau creepypasta baru yang menyeramkan. Pengguna memasukkan sebuah lokasi atau objek yang umum, dan AI akan menulis sebuah cerita horor pendek yang terasa seperti mitos yang bisa menyebar dari mulut ke mulut.",https://ai.studio/apps/drive/1vsrvsg3oDUAMFaW0t4LOMx0KEdQ0jZGa
Code Weaver AI: Pseudocode Translator,"Bangun sebuah aplikasi web yang berfungsi sebagai penerjemah dari logika bahasa manusia atau pseudocode menjadi kode pemrograman yang fungsional. Pengguna menulis alur logika mereka, memilih bahasa target, dan AI akan menghasilkan kode yang siap pakai.",https://ai.studio/apps/drive/1ixy2slP1XzLrKLjyrUdbtg9lDlaJOejZ
Helpful Error Message Generator,"Bangun sebuah aplikasi web untuk para developer yang berfungsi sebagai penulis pesan error. Pengguna mendeskripsikan sebuah situasi error teknis, dan AI akan menulis pesan error yang jelas, informatif, dan ramah pengguna, lengkap dengan penjelasan dan saran perbaikan untuk developer.",https://ai.studio/apps/drive/1CkwfO_LacoB077P4eECZxkfh4hmonNyU
JSON Data Factory AI,"Bangun sebuah aplikasi web yang berfungsi sebagai generator data sampel (dummy data) dalam format JSON. Pengguna mendeskripsikan skema data yang mereka butuhkan dalam bahasa biasa, dan AI akan menghasilkan array objek JSON yang sesuai, sangat berguna untuk prototyping dan pengujian.",https://ai.studio/apps/drive/1icO2JAkUCwET8DqTS6dSsxiTGkvnvRv-
Code Commenter AI: Docstring Generator,"Bangun sebuah aplikasi web yang secara otomatis mendokumentasikan kode. Pengguna menempelkan sebuah fungsi kode, dan AI akan menganalisisnya untuk menulis komentar atau docstring yang jelas, menjelaskan tujuan fungsi, parameter input, dan nilai outputnya.",https://ai.studio/apps/drive/1rxpum93fExwN1AmKqZRIMQGWfb0TGNnq
Cron Job AI Translator,"Bangun sebuah aplikasi web utilitas yang menerjemahkan deskripsi jadwal dalam bahasa manusia menjadi sintaks cron job yang benar. Pengguna menulis kapan mereka ingin sebuah tugas dijalankan, dan AI akan menghasilkan string cron yang sesuai.",https://ai.studio/apps/drive/1HafIvY5oIvM_p3aIM24tZk1Jgc9h1PtN
Natural Language to SQL Assistant,"Bangun sebuah aplikasi web yang berfungsi sebagai penerjemah bahasa manusia ke query SQL. Pengguna menulis permintaan data dalam kalimat biasa dan mendeskripsikan skema tabel mereka, lalu AI akan menghasilkan query SQL yang sesuai.",https://ai.studio/apps/drive/1bTTYpaV7LKN4pc1wQJppB1d0Hrhmnr5Q
Regex Explainer AI,"Bangun sebuah aplikasi web utilitas yang berfungsi sebagai penerjemah ekspresi reguler (regex). Pengguna memasukkan sebuah pola regex yang rumit, dan AI akan menguraikannya bagian per bagian dan menjelaskannya dalam bahasa manusia yang mudah dimengerti.",https://ai.studio/apps/drive/1FdW1wGienxcZ0MTz15G4IuYddTCBsAJ5
Test Case Generator AI,"Bangun sebuah aplikasi web untuk para software tester dan developer. Pengguna mendeskripsikan sebuah fitur aplikasi, dan AI akan secara otomatis membuat daftar kasus uji (test cases) yang komprehensif, mencakup skenario normal (happy path), skenario negatif, dan kasus-kasus tepi (edge cases).",https://ai.studio/apps/drive/1Ir2tvAEQIm1mPIsug4i0lZeNBAJAJ59U
Clean Code Namer AI,"Bangun sebuah aplikasi web utilitas untuk para programmer. Pengguna mendeskripsikan tujuan sebuah variabel atau fungsi dalam bahasa biasa, dan AI akan memberikan beberapa saran nama yang deskriptif dalam berbagai konvensi penulisan kode (camelCase, PascalCase, snake_case, kebab-case).",https://ai.studio/apps/drive/1xd3Fl03OIRDdxYjv1Qpxgupm07SyiC_S
README Generator AI,"Bangun sebuah aplikasi web yang secara otomatis menghasilkan file README.md yang terstruktur dan profesional untuk proyek perangkat lunak. Pengguna memberikan nama proyek, deskripsi singkat, dan bahasa/teknologi yang digunakan, lalu AI akan membuat template README yang lengkap.",https://ai.studio/apps/drive/19IJAvMJA_rnolQCJkX3xSyehd4Pj1zuc
Public Speaking Coach AI: Speech Analyzer,"Bangun sebuah aplikasi web yang berfungsi sebagai pelatih public speaking virtual. Pengguna menempelkan draf pidato mereka, dan AI akan menganalisisnya untuk memberikan saran konkret tentang cara membuatnya lebih berdampak, termasuk saran untuk kalimat pembuka dan penutup, serta di mana harus memberikan jeda untuk penekanan.",https://ai.studio/apps/drive/1klPKCc1l6DHTeMLu68WcRUY-2ZWCa_PL
Mediator Konflik AI: Neutral Ground,"Bangun sebuah aplikasi web yang berfungsi sebagai mediator konflik virtual yang netral. Pengguna mendeskripsikan sebuah masalah atau perselisihan dari dua sudut pandang yang berbeda, dan AI akan memberikan analisis objektif, mengidentifikasi inti masalah, dan menyarankan langkah-langkah komunikasi untuk mencapai resolusi.",https://ai.studio/apps/drive/14-aLGQ0pQ3pEASM5UBeJchAk4a7vXsEy
Surat Lamaran Pro AI: Cover Letter Writer,"Bangun sebuah aplikasi web yang secara otomatis membuat surat lamaran kerja (cover letter) yang dipersonalisasi. Pengguna menempelkan deskripsi pekerjaan dan CV mereka, lalu AI akan menulis draf surat lamaran yang menyoroti pengalaman paling relevan dari CV untuk posisi yang dituju.",https://ai.studio/apps/drive/1g7oL35TlDYg2ojLRL9SjKxa6LDUPK-kP
Generator Sumpah Pernikahan AI,"Bangun sebuah aplikasi web yang membantu pengguna menulis janji atau sumpah pernikahan (wedding vows) yang personal dan menyentuh. Pengguna memasukkan beberapa kenangan, sifat yang disukai, dan janji untuk pasangan mereka, lalu AI akan merangkainya menjadi sebuah naskah yang indah dan puitis.",https://ai.studio/apps/drive/1GF7sXX-7WokqA4lbwJveimj2793UmRh0
Oracle AI: Pembaca Tarot Virtual,"Bangun sebuah aplikasi web hiburan yang berfungsi sebagai peramal tarot fiktif. Pengguna mengajukan sebuah pertanyaan atau fokus, dan AI akan melakukan ""pembacaan"" tiga kartu tarot (Masa Lalu, Saat Ini, Masa Depan) dengan interpretasi yang puitis, introspektif, dan simbolis.",https://ai.studio/apps/drive/1rEd_Mhh2y8YfNYniqM272yIG1rfimllU
Pembuat Pidato Motivasi AI,"Bangun sebuah aplikasi web yang berfungsi sebagai penulis pidato motivasi. Pengguna memilih sebuah tema utama, dan AI akan menghasilkan naskah pidato singkat yang kuat, membangkitkan semangat, dan siap untuk disampaikan.",https://ai.studio/apps/drive/1gRmGBr1ovYzIiiaiD324uFvWVEx-bAUV
Asisten Negosiasi Gaji AI,"Bangun sebuah aplikasi web yang berfungsi sebagai pelatih negosiasi gaji. Pengguna memasukkan data tentang posisi, industri, dan pencapaian mereka, lalu AI akan menghasilkan poin-poin argumen yang kuat dan frasa-frasa kunci yang bisa langsung digunakan dalam percakapan negosiasi.",https://ai.studio/apps/drive/1iwKdEx5bJ3YCEC7VyCzPakmcRRgthsD_
Generator Ulasan Produk Palsu AI,"Bangun sebuah aplikasi web yang menghasilkan ulasan produk palsu yang detail dan terdengar otentik untuk tujuan pengujian atau contoh. Pengguna memasukkan nama produk dan memilih sentimen, lalu AI akan menulis sebuah ulasan lengkap seolah-olah dari pelanggan sungguhan.",https://ai.studio/apps/drive/1tLx3z_fUiExB_gd9EvbpbxA2DfnsWT86
SloganGen AI: Campaign Slogan Generator,"Bangun sebuah aplikasi web yang berfungsi sebagai generator slogan kampanye. Pengguna mendeskripsikan tujuan utama dan target audiens dari kampanye mereka, lalu AI akan menghasilkan beberapa opsi slogan yang menarik, ringkas, dan mudah diingat.",https://ai.studio/apps/drive/1-sesReiPO4-xudyko3RRHTV42TjmV64L
Penulis Eulogi AI: In Loving Memory,"Bangun sebuah aplikasi web yang membantu pengguna menyusun pidato kenangan (eulogi) di saat-saat sulit. Pengguna memasukkan kenangan, sifat-sifat baik, dan hubungan mereka dengan almarhum/almarhumah, lalu AI akan membantu merangkainya menjadi sebuah eulogi yang tulus, mengharukan, dan penuh hormat.",https://ai.studio/apps/drive/10EDPNAtGN30XKikLjYnzIVGUviXXEvyB
Laporan Cuaca Puitis AI,"Bangun sebuah aplikasi web yang mengubah data cuaca teknis menjadi sebuah deskripsi naratif yang puitis dan imajinatif. Pengguna memasukkan kondisi cuaca, dan AI akan menulis sebuah paragraf singkat yang melukiskan suasana hari itu dengan indah.",https://ai.studio/apps/drive/1fwAl4fXHURZfHyTtdL-UbNmHsoHhhmyX
Penulis Pesan Botol AI: Message in a Bottle Generator,"Bangun sebuah aplikasi web kreatif yang menulis surat pendek yang misterius dan penuh perenungan. Pengguna memasukkan sebuah tema atau perasaan, dan AI akan menulis sebuah pesan seolah-olah pesan itu dimasukkan ke dalam botol dan dihanyutkan ke laut untuk ditemukan oleh orang asing di masa depan.",https://ai.studio/apps/drive/1qeh15caMoIThq_UvfZrlYjKCg0DZvjJF
Generator Afirmasi Harian AI,"Bangun sebuah aplikasi web yang berfungsi sebagai pembuat afirmasi positif yang personal. Pengguna menuliskan tujuan, fokus, atau tantangan yang mereka hadapi hari itu, dan AI akan membuat sebuah kalimat afirmasi yang spesifik, memberdayakan, dan siap untuk diucapkan.",https://ai.studio/apps/drive/1FNz9dTip41fEB8xIjZyCF3HLkr4LHh-4
Alibi Weaver AI: Fictional Alibi Generator,"Bangun sebuah aplikasi web untuk para penulis dan pemain peran. Pengguna mendeskripsikan sebuah kejahatan fiktif dan karakter yang membutuhkan alibi, lalu AI akan menyusun alibi yang detail, logis, dan (hampir) tidak bisa dipatahkan, lengkap dengan saksi dan bukti pendukung fiktif.",https://ai.studio/apps/drive/1mZ0SnmexRZ8NoYmLI_ko7y6D2Ng7__Bz
Penulis Deskripsi Menu AI: Gourmet Wordsmith,"Bangun sebuah aplikasi web yang mengubah daftar bahan sederhana menjadi deskripsi menu yang menggugah selera. Pengguna memasukkan nama hidangan dan bahan utamanya, lalu AI akan menulis deskripsi yang puitis dan mewah, layaknya di restoran bintang lima.",https://ai.studio/apps/drive/1hU6rpPjR5pNXubxC02iT_BZeMQ5gDVHV
Pembuat Doa Universal AI: Words of Reflection,"Bangun sebuah aplikasi web yang menulis doa, refleksi, atau perenungan yang bersifat universal dan non-denominasi. Pengguna memilih sebuah tema, dan AI akan menghasilkan sebuah teks yang fokus pada nilai-nilai kemanusiaan bersama seperti harapan, syukur, kekuatan, atau kedamaian.",https://ai.studio/apps/drive/1qdu65gNlMz_1EaffXt0NPeQfJoGD_nrW
Penulis Surat Protes AI: Complaint Letter Assistant,"Bangun sebuah aplikasi web yang membantu pengguna menyusun surat keluhan atau protes yang formal dan efektif. Pengguna mendeskripsikan masalah yang mereka hadapi dan solusi yang diinginkan, lalu AI akan menulis draf surat yang jelas, tegas, namun tetap sopan.",https://ai.studio/apps/drive/1HfUc2Eskx4yNNXGSQMu8QpdvBUU8MvXa
Generator Nama Band AI: Band Name Forge,"Bangun sebuah aplikasi web yang membantu para musisi menemukan nama band yang keren dan unik. Pengguna memilih genre musik mereka, dan AI akan menghasilkan 10 ide nama band yang kreatif dan sesuai dengan genre tersebut.",https://ai.studio/apps/drive/1eebpGLH0-4NtllgLErW2LlQCzCqFmuBE
Pembuat Mantra Sihir AI: Spellbook Crafter,"Bangun sebuah aplikasi web kreatif yang menciptakan ""mantra"" atau ""rapalan sihir"" fiktif. Pengguna mendeskripsikan efek sihir yang diinginkan, dan AI akan menghasilkan nama mantra, rapalan yang berima, dan efek samping kecil yang menarik.",https://ai.studio/apps/drive/1i6oMehK3dERC3OoiY1mpZmdioNhCa5jO
Penulis Biografi Singkat AI: Bio in Brief,"Bangun sebuah aplikasi web yang menulis biografi singkat (sekitar 150 kata) tentang tokoh sejarah atau fiksi. Pengguna hanya perlu memasukkan nama tokoh, dan AI akan menghasilkan ringkasan yang padat, menyoroti pencapaian dan dampak terpenting mereka.",https://ai.studio/apps/drive/1_AaziT4vOMYJloo7PutQmWoEvZmgFG8m
Reframer Pikiran Negatif AI: CBT Thought Helper,"Bangun sebuah aplikasi web berdasarkan prinsip Terapi Perilaku Kognitif (CBT). Pengguna memasukkan sebuah pemikiran negatif otomatis, dan AI akan membantu menuliskannya kembali menjadi 3 perspektif alternatif yang lebih seimbang, realistis, dan konstruktif.",https://ai.studio/apps/drive/1wm-DrsqeWS3wjlZTCP08jz5upneR21rG
"Asisten ""Obrolan Sulit"" AI: Difficult Conversation Coach","Bangun sebuah aplikasi web yang berfungsi sebagai pelatih komunikasi. Pengguna mendeskripsikan sebuah percakapan sulit yang harus mereka hadapi, dan AI akan memberikan panduan terstruktur yang mencakup beberapa opsi kalimat pembuka, poin-poin kunci yang harus dibahas, dan tips untuk menjaga agar percakapan tetap produktif dan tidak eskalatif.",https://ai.studio/apps/drive/1F7vAuhQ8QkMg7QqfOS6Me0Yq_5Nxh98A
Generator Prompt Jurnal AI: Reflective Prompts,"Bangun sebuah aplikasi web sederhana yang berfungsi sebagai pemicu untuk journaling. Pengguna memasukkan satu kata yang menggambarkan perasaan mereka hari ini, dan AI akan menghasilkan 5 pertanyaan jurnal yang mendalam dan introspektif untuk membantu pengguna merefleksikan dan memahami perasaan tersebut.",https://ai.studio/apps/drive/194saIemo7qk6-7iGmUE8ZnUdU6ouyf-N
Penulis Ucapan Terima Kasih AI,"Bangun sebuah aplikasi web yang membantu pengguna menulis ucapan terima kasih yang tulus dan spesifik. Pengguna memasukkan hadiah atau bantuan yang mereka terima dan dari siapa, lalu AI akan menyusun draf ucapan yang personal dan tidak terdengar generik.",https://ai.studio/apps/drive/1kx-ajRzqL9ns30t4VDSZyNxRxop2dDB-
Podcast Show Notes Generator AI,"Bangun sebuah aplikasi web yang membantu podcaster membuat deskripsi episode (show notes) yang menarik. Pengguna memasukkan poin-poin kunci atau ringkasan singkat dari episode mereka, dan AI akan menulis deskripsi yang lengkap serta memberikan beberapa usulan judul yang memikat.",https://ai.studio/apps/drive/1RRH1DT5UMviUIJTnzghKg08MpVj2zx85
Blurb Crafter AI: Book Blurb Generator,"Bangun sebuah aplikasi web untuk para penulis yang secara otomatis menciptakan blurb (teks sampul belakang buku) yang menarik. Pengguna memasukkan sinopsis singkat cerita mereka, dan AI akan menulis 3 pilihan blurb yang menegangkan, membuat penasaran, dan dirancang untuk membuat pembaca ingin membeli buku tersebut.",https://ai.studio/apps/drive/1MKKe7o-dMCbEh4l3l6dfhceFjS3UdlWl
Judul Klik-Positif AI: Click-Positive Headline Generator,"Bangun sebuah aplikasi web yang membantu penulis dan kreator konten membuat judul yang menarik perhatian tanpa menjadi clickbait yang menipu. Pengguna memasukkan topik atau judul asli, dan AI akan menghasilkan 5 alternatif judul ""klik-positif"" yang memancing rasa penasaran namun tetap akurat.",https://ai.studio/apps/drive/1HRVekhbZWXB6Wg_mB5rcTxLQEcWaYOZc
Konverter Poin ke Paragraf AI: Paragraph Weaver,"Bangun sebuah aplikasi web yang mengubah daftar poin-poin (bullet points) mentah menjadi sebuah paragraf naratif yang kohesif dan mengalir lancar. Pengguna cukup menempelkan daftar poin, dan AI akan menyusunnya menjadi teks yang enak dibaca.",https://ai.studio/apps/drive/1YF4_X4IA4OgSzUH7uvls0qU9E0qdJXpf
Kreator Makhluk Fantasi AI: Creature Forge,"Bangun sebuah aplikasi web untuk para world-builder yang secara otomatis merancang makhluk fantasi unik. Pengguna mendeskripsikan sebuah lingkungan atau habitat, dan AI akan menciptakan makhluk yang logis untuk hidup di sana, lengkap dengan deskripsi fisik, perilaku, dan perannya dalam ekosistem fiktif tersebut.",https://ai.studio/apps/drive/1Ppqyr515VkuaGLBOAWwFgnIem7lAxHSe
Perancang Tradisi Fiktif AI: Cultural Weaver,"Bangun sebuah aplikasi web untuk para penulis dan world-builder yang menciptakan tradisi budaya fiktif. Pengguna memasukkan nama masyarakat dan nilai-nilai inti mereka, lalu AI akan merancang sebuah festival, ritual, atau tradisi unik yang mencerminkan nilai-nilai tersebut.",https://ai.studio/apps/drive/1f8BQWzHu8LX_WYSL79_xWFb8MZBDVI4P
Pemecah Writer's Block AI: Plot Unsticker,"Bangun sebuah aplikasi web yang berfungsi sebagai teman brainstorming untuk para penulis. Pengguna mendeskripsikan sebuah adegan atau titik plot di mana mereka merasa buntu, dan AI akan memberikan tiga saran yang berbeda dan tak terduga tentang bagaimana cerita bisa berlanjut.",https://ai.studio/apps/drive/1Mid2c7VJIF258pJ2WkPk5XaGHr13iFa3
Modifikator Resep Sehat AI: Healthy Recipe Makeover,"Bangun sebuah aplikasi web yang berfungsi sebagai ahli gizi virtual. Pengguna menempelkan sebuah resep masakan, dan AI akan menganalisisnya untuk memberikan saran substitusi bahan dan metode memasak agar resep tersebut menjadi lebih sehat, tanpa mengorbankan rasa secara signifikan.",https://ai.studio/apps/drive/1-FTyaJCEtvX7sPfx0NXKSHOL-MT9gp2B
Perencana Latihan Rumahan AI: Home Workout Planner,"Bangun sebuah aplikasi web yang berfungsi sebagai pelatih kebugaran pribadi. Pengguna memilih area tubuh yang ingin dilatih, peralatan yang tersedia, dan tingkat kebugaran, lalu AI akan menyusun rutinitas latihan rumahan yang sederhana dan efektif, lengkap dengan deskripsi setiap gerakan.",https://ai.studio/apps/drive/15FJyMa0g8JZirFUMB1FYtRlB1Is4T9md
Penerjemah Menu Kuliner AI: Culinary Translator,"Bangun sebuah aplikasi web yang berfungsi sebagai kamus kuliner interaktif. Pengguna memasukkan nama hidangan asing yang tidak mereka kenali, dan AI akan memberikan penjelasan singkat tentang apa itu, bahan-bahan utamanya, dan bagaimana cara memasaknya secara tradisional.",https://ai.studio/apps/drive/1nXfnV1yPirrInBO-EFrtmku8-axlITnl
Peningkat Prompt Gambar AI: Prompt Enhancer,"Bangun sebuah aplikasi web yang membantu pengguna menulis prompt yang lebih baik untuk generator gambar AI (seperti Midjourney atau Stable Diffusion). Pengguna memasukkan ide prompt yang sederhana, dan AI akan mengembangkannya menjadi prompt yang sangat detail, menambahkan elemen-elemen seperti gaya seni, pencahayaan, komposisi, dan detail teknis lainnya.",https://ai.studio/apps/drive/1QuJuLdhwTk0V6sNWigxmxANg80KRHeye
Pemecah Keheningan AI: Ice Breaker Generator,"Bangun sebuah aplikasi web yang membantu pengguna memulai percakapan. Pengguna memasukkan konteks sebuah acara sosial, dan AI akan menghasilkan daftar pertanyaan pembuka percakapan (ice breaker) yang unik, menarik, dan sesuai dengan suasana acara tersebut.",https://ai.studio/apps/drive/18NKW_RCNjZEwhkBy2_N5MfDXdO6FoYef
Penjelas Istilah Finansial AI: Finance Demystifier,"Bangun sebuah aplikasi web yang berfungsi sebagai kamus finansial yang disederhanakan. Pengguna memasukkan istilah investasi atau keuangan yang rumit, dan AI akan menjelaskannya menggunakan analogi sederhana dan bahasa yang mudah dipahami oleh pemula.",https://ai.studio/apps/drive/1Jj_bFFAM9IPzI3IpxM-D64rBTTGn-axG
Project Codename Generator AI,"Bangun sebuah aplikasi web untuk para developer dan manajer proyek yang memberikan ide-ide nama kode (codename) yang kreatif. Pengguna memasukkan deskripsi singkat tentang tujuan proyek, dan AI akan menghasilkan 10 ide nama kode yang unik dan tematik.",https://ai.studio/apps/drive/130fDqQSlhA_f6w3MWfCzc9u1Ropwi9uf
Penulis Pesan Permintaan Maaf AI: Sincere Apology Writer,"Bangun sebuah aplikasi web yang membantu pengguna merumuskan pesan permintaan maaf yang tulus dan bertanggung jawab. Pengguna menjelaskan situasi dan kesalahan yang mereka perbuat, dan AI akan menyusun draf permintaan maaf yang menunjukkan penyesalan, mengakui kesalahan, dan mengungkapkan niat untuk memperbaiki.",https://ai.studio/apps/drive/1WQRH6-COIT27S7g6QzmvutW7qOMaaHt9
Simulator Negosiasi AI: Negotiation Coach,"Bangun sebuah aplikasi web interaktif yang berfungsi sebagai simulator untuk melatih kemampuan negosiasi. Pengguna mendefinisikan sebuah skenario dan peran mereka, lalu AI akan berperan sebagai lawan negosiasi, memberikan penawaran dan argumen balasan secara dinamis dalam format percakapan.",https://ai.studio/apps/drive/1sbNz9z6RjX93mwZ9bvKFRcvFiNuTwmTm
